vehicle_registration_number,liters,cost,date
TN17CD7596,71.4,6248.82,2025-08-01
TN43AB9201,41.7,4182.64,2024-07-31
TN32EF7755,66.7,6829.67,2024-12-02
TN64CD4585,55.1,5675.89,2024-01-03
TN79GH4295,175.9,15460.51,2024-05-13
TN81PQ1158,72.6,6424.37,2025-11-07
TN14PQ1488,52.4,4829.44,2026-03-18
TN24AB6947,130.1,11099.56,2024-09-28
TN29KL4527,51.5,4811.09,2024-04-26
TN21MN4848,40.8,3833.79,2025-01-05
TN46KL4450,130.9,12309.85,2024-08-14
TN39KL4652,37.4,3764.85,2026-06-06
TN83PQ4114,118.6,11167.48,2024-02-01
TN29KL4527,199.8,20368.8,2025-03-12
TN65MN2146,48.4,4803.6,2025-03-30
TN78RS3045,182.9,16724.79,2024-05-31
TN78RS3045,51.5,5020.55,2025-08-22
TN65EF3088,151.1,13994.59,2025-09-03
TN91CD7939,80.1,7618.39,2025-03-16
TN91RS6977,164.8,14385.11,2025-11-01
TN14KL2776,179.2,17207.99,2026-06-05
TN43AB9201,103.1,10594.74,2025-02-27
TN17CD7596,170.7,15870.76,2026-01-17
TN91RS6977,83.1,7582.91,2024-09-18
TN21AB4872,192.1,18967.27,2025-04-30
TN78RS3045,45.5,3945.18,2025-03-18
TN91RS6977,156.6,14478.13,2024-05-13
TN65EF3088,40.2,4186.13,2025-07-29
TN17CD7596,143.9,13413.81,2026-06-13
TN83PQ4114,190.0,17757.16,2026-01-08
TN29KL4527,194.6,18877.8,2024-12-26
TN91RS6977,128.2,11442.46,2025-11-03
TN46MN3584,68.1,5935.89,2026-05-15
TN65EF3088,92.5,9273.32,2025-08-10
TN29GH7126,167.2,17038.2,2026-02-24
TN39KL4652,134.3,13141.79,2024-01-27
TN30KL2771,187.9,19088.61,2024-09-30
TN14PQ1488,60.7,6012.58,2024-11-12
TN17CD7596,89.7,7949.94,2024-05-26
TN95GH2684,141.7,12241.71,2026-01-28
TN92MN9346,195.2,16950.22,2025-06-27
TN43AB9201,94.0,8842.85,2024-06-10
TN21AB4872,83.0,7593.48,2025-08-04
TN30KL2771,44.4,3820.72,2024-06-10
TN68CD7790,135.0,13294.72,2024-10-05
TN36KL6147,142.5,13496.64,2025-03-28
TN74RS9701,76.4,7647.55,2024-04-26
TN45EF8579,103.1,9347.55,2025-11-25
TN32EF7755,112.7,11083.22,2024-02-16
TN29GH7126,97.2,9427.09,2024-01-08
